127.0.0.1 - - [06/Oct/2015:18:04:35 +0530] "GET / HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [06/Oct/2015:18:04:37 +0530] "GET /JSPproject/FirstJSPFile.jsp HTTP/1.1" 200 795
0:0:0:0:0:0:0:1 - - [06/Oct/2015:18:04:51 +0530] "GET /JSPproject/TryServlet?id=1&name=phalguni&address=ujjain&contact=1234&submit=submit HTTP/1.1" 500 2720
0:0:0:0:0:0:0:1 - - [06/Oct/2015:18:11:22 +0530] "GET /JSPproject/TryServlet?id=1&name=phalguni&address=ujjain&contact=123&submit=submit HTTP/1.1" 500 2720
0:0:0:0:0:0:0:1 - - [06/Oct/2015:18:11:24 +0530] "GET /JSPproject/TryServlet?id=1&name=phalguni&address=ujjain&contact=123&submit=submit HTTP/1.1" 500 2720
0:0:0:0:0:0:0:1 - - [06/Oct/2015:18:11:25 +0530] "GET /JSPproject/TryServlet?id=1&name=phalguni&address=ujjain&contact=123&submit=submit HTTP/1.1" 500 2720
0:0:0:0:0:0:0:1 - - [06/Oct/2015:18:11:25 +0530] "GET /JSPproject/TryServlet?id=1&name=phalguni&address=ujjain&contact=123&submit=submit HTTP/1.1" 500 2720
0:0:0:0:0:0:0:1 - - [06/Oct/2015:18:11:25 +0530] "GET /JSPproject/TryServlet?id=1&name=phalguni&address=ujjain&contact=123&submit=submit HTTP/1.1" 500 2720
0:0:0:0:0:0:0:1 - - [06/Oct/2015:18:17:45 +0530] "GET /JSPproject/TryServlet?id=1&name=phalguni&address=ujjain&contact=123&submit=submit HTTP/1.1" 500 2720
0:0:0:0:0:0:0:1 - - [06/Oct/2015:18:17:47 +0530] "GET /JSPproject/TryServlet?id=1&name=phalguni&address=ujjain&contact=123&submit=submit HTTP/1.1" 500 2720
0:0:0:0:0:0:0:1 - - [06/Oct/2015:18:18:55 +0530] "GET /JSPproject/TryServlet?id=1&name=phalguni&address=ujjain&contact=1234&submit=submit HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [06/Oct/2015:18:19:00 +0530] "GET /JSPproject/TryServlet?id=1&name=phalguni&address=ujjain&contact=1234&submit=submit HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [06/Oct/2015:18:19:01 +0530] "GET /JSPproject/TryServlet?id=1&name=phalguni&address=ujjain&contact=1234&submit=submit HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [06/Oct/2015:18:19:01 +0530] "GET /JSPproject/TryServlet?id=1&name=phalguni&address=ujjain&contact=1234&submit=submit HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [06/Oct/2015:18:19:15 +0530] "GET /JSPproject/TryServlet?id=1&name=phalguni&address=ujjain&contact=1234&submit=submit HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [06/Oct/2015:18:19:15 +0530] "GET /JSPproject/TryServlet?id=1&name=phalguni&address=ujjain&contact=1234&submit=submit HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [06/Oct/2015:18:21:55 +0530] "GET /JSPproject/TryServlet?id=1&name=&address=&contact=&submit=submit HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [06/Oct/2015:18:21:57 +0530] "GET /JSPproject/TryServlet?id=1&name=&address=&contact=&submit=submit HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [06/Oct/2015:18:21:57 +0530] "GET /JSPproject/TryServlet?id=1&name=&address=&contact=&submit=submit HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [06/Oct/2015:18:21:57 +0530] "GET /JSPproject/TryServlet?id=1&name=&address=&contact=&submit=submit HTTP/1.1" 200 290
